Category	Subtype	Market	Tier	Source	Official	Access	CollectionMode	RecommendedFrequency	DataItems	Notes	Links
경제지표(매크로)	경제 데이터 통합 허브(백테스트/리비전)	US	Secondary	FRED API (ALFRED 포함)	Federal Reserve (Official)	OpenAPI	Batch	일 1회 또는 주 1회(지표별)	다양한 경제지표 시계열, vintage(리비전) 데이터(옵션)	원천기관 대비 중계 레이어. 실시간 발표 해석은 원천기관 우선 권장.	https://fred.stlouisfed.org/docs/api/fred/
공시	한국 공시 원천/원문/XML	KR	Primary	OPENDART (금감원)	Regulator (Official)	OpenAPI	Polling + On-demand	장중/장후 1~3분 폴링 + 원문 즉시 다운로드	공시목록, 공시원문(XML/첨부), 정정공시	corp_code 매핑 필요. 정정공시 체인 관리 필수.	https://opendart.fss.or.kr/
공시	거래소 고유공시/투자유의/IR 보완	KR	Primary(보완)	KRX KIND	Exchange (Official)	Web (파싱)	Polling	2~5분(공시), 1~3분(투자유의)	상장공시, 거래정지/투자유의, IR 자료/일정(보조)	웹 구조 변경 리스크 → 파서 버전관리/헬스체크 필요.	https://kind.krx.co.kr/
공시	미국 공시/재무(XBRL) 원천	US	Primary	SEC EDGAR APIs	Regulator (Official)	OpenAPI/Web	Polling + On-demand	5~15분(신규 filing 감지) + 온디맨드 문서	10-K/10-Q/8-K 등 filing, submissions, XBRL facts	접속 예절(User-Agent 등) 준수. ticker↔CIK 매핑 필요.	https://www.sec.gov/search-filings/edgar-application-programming-interfaces
공식발표/기관공지	미국 기관 릴리즈 스케줄/공지	US	Primary	BLS Release Schedules / BEA Schedule	Government (Official)	Web/JSON/ICS	Batch + Event	일 1회 + 변경 감지	릴리즈 캘린더(예정/변경)	일정 변경(정부 셧다운 등) 가능 → 변경 감지 및 재동기화.	https://www.bls.gov/schedule/news_release/
기업분석/IR	IR 자료/기업분석보고서(공개 범위)	KR	Primary	KIND IR자료실/기업분석보고서	Exchange (Official)	Web (다운로드)	Batch + Event	일 1~4회 + 신규 업로드 시 즉시	IR 발표자료(PDF), IR 일정, 분석 보고서(가능 범위)	문서 파싱(PDF) 작업 큐 분리 권장. 저작권/이용범위 확인.	https://kind.krx.co.kr/
기업분석/IR	사업/분반기 보고서 기반 factual	KR	Primary	DART 사업/분반기 보고서(원문/정형)	Regulator (Official)	OpenAPI	Event-driven + Batch	신규공시 즉시 + 일 1회 보강	사업보고서/분기보고서, 재무/리스크 서술	리서치 대체가 아니라 factual 기반. LLM 요약/팩트 추출에 적합.	https://opendart.fss.or.kr/
기업분석/IR	투자분석정보/보고서(유료 가능)	KR	Secondary	KRX Data Marketplace (투자분석정보/기업분석보고서)	Exchange (Official/Commercial)	Data service	Batch	일 1회 또는 문서 게시 시점	분석/리포트류(서비스 범위에 따라)	유료/라이선스 조건 확인 후 도입. 재배포/저장 조건 검토 필수.	https://data.krx.co.kr/contents/MDC/COMS/client/MDCCOMS002_S3.cmd
기업분석/IR	미국 기업 IR 사이트(보도자료/프리젠테이션)	US	Primary	각 기업 Investor Relations(회사별)	Company (Official)	Web/RSS(있다면)	Batch + Event	일 1~4회 또는 온디맨드	Earnings release, Presentation PDF, prepared remarks, webcast links	회사별 구조 상이 → IR URL registry 필요. 약관/robots 준수.	(company-specific)
식별자/매핑	미국 티커↔CIK/filings 참조	US	Primary	SEC EDGAR (CIK 중심)	Regulator (Official)	OpenAPI/Web	Batch	주 1회 + 변경 감지	CIK, 제출내역, company facts	티커 변경/합병 대응 위해 CIK 중심 식별 권장.	https://www.sec.gov/search-filings/edgar-application-programming-interfaces
